"Station","DBKEY","Daily.Date","Data.Value","Qualifer","Revision.Date","Date"
"S77_T","65461","01-MAY-2011",11.08,"","22-FEB-2021",2011-05-01
"S77_T","65461","02-MAY-2011",11.08,"","22-FEB-2021",2011-05-02
"S77_T","65461","03-MAY-2011",10.86,"","22-FEB-2021",2011-05-03
"S77_T","65461","04-MAY-2011",10.57,"","22-FEB-2021",2011-05-04
"S77_T","65461","05-MAY-2011",10.75,"","22-FEB-2021",2011-05-05
"S77_T","65461","06-MAY-2011",10.73,"","22-FEB-2021",2011-05-06
"S77_T","65461","07-MAY-2011",10.72,"","22-FEB-2021",2011-05-07
"S77_T","65461","08-MAY-2011",10.76,"","22-FEB-2021",2011-05-08
"S77_T","65461","09-MAY-2011",10.64,"","22-FEB-2021",2011-05-09
"S77_T","65461","10-MAY-2011",10.68,"","22-FEB-2021",2011-05-10
"S77_T","65461","11-MAY-2011",NA,"M","22-FEB-2021",2011-05-11
"S77_T","65461","12-MAY-2011",NA,"M","22-FEB-2021",2011-05-12
"S77_T","65461","13-MAY-2011",10.31,"","22-FEB-2021",2011-05-13
"S77_T","65461","14-MAY-2011",10.29,"","22-FEB-2021",2011-05-14
"S77_T","65461","15-MAY-2011",10.38,"","22-FEB-2021",2011-05-15
"S77_T","65461","16-MAY-2011",10.4,"","22-FEB-2021",2011-05-16
"S77_T","65461","17-MAY-2011",10.33,"","22-FEB-2021",2011-05-17
"S77_T","65461","18-MAY-2011",10.36,"","22-FEB-2021",2011-05-18
"S77_T","65461","19-MAY-2011",10.37,"","22-FEB-2021",2011-05-19
"S77_T","65461","20-MAY-2011",10.33,"","22-FEB-2021",2011-05-20
"S77_T","65461","21-MAY-2011",10.4,"","22-FEB-2021",2011-05-21
"S77_T","65461","22-MAY-2011",10.41,"","22-FEB-2021",2011-05-22
"S77_T","65461","23-MAY-2011",10.34,"","22-FEB-2021",2011-05-23
"S77_T","65461","24-MAY-2011",10.26,"","22-FEB-2021",2011-05-24
"S77_T","65461","25-MAY-2011",10.22,"","22-FEB-2021",2011-05-25
"S77_T","65461","26-MAY-2011",10.18,"","22-FEB-2021",2011-05-26
"S77_T","65461","27-MAY-2011",10.07,"","22-FEB-2021",2011-05-27
"S77_T","65461","28-MAY-2011",10.09,"","22-FEB-2021",2011-05-28
"S77_T","65461","29-MAY-2011",10.16,"","22-FEB-2021",2011-05-29
"S77_T","65461","30-MAY-2011",10.24,"","22-FEB-2021",2011-05-30
"S77_T","65461","31-MAY-2011",10.12,"","22-FEB-2021",2011-05-31
"S77_T","65461","01-JUN-2011",9.92,"","22-FEB-2021",2011-06-01
"S77_T","65461","02-JUN-2011",9.9,"","22-FEB-2021",2011-06-02
"S77_T","65461","03-JUN-2011",9.85,"","22-FEB-2021",2011-06-03
"S77_T","65461","04-JUN-2011",9.93,"","22-FEB-2021",2011-06-04
"S77_T","65461","05-JUN-2011",9.89,"","22-FEB-2021",2011-06-05
"S77_T","65461","06-JUN-2011",9.64,"","22-FEB-2021",2011-06-06
"S77_T","65461","07-JUN-2011",9.44,"","22-FEB-2021",2011-06-07
"S77_T","65461","08-JUN-2011",9.6,"","22-FEB-2021",2011-06-08
"S77_T","65461","09-JUN-2011",9.72,"","22-FEB-2021",2011-06-09
"S77_T","65461","10-JUN-2011",9.55,"","22-FEB-2021",2011-06-10
"S77_T","65461","11-JUN-2011",9.36,"","22-FEB-2021",2011-06-11
"S77_T","65461","12-JUN-2011",9.44,"","22-FEB-2021",2011-06-12
"S77_T","65461","13-JUN-2011",9.24,"","22-FEB-2021",2011-06-13
"S77_T","65461","14-JUN-2011",8.75,"","22-FEB-2021",2011-06-14
"S77_T","65461","15-JUN-2011",8.86,"","22-FEB-2021",2011-06-15
"S77_T","65461","16-JUN-2011",9.31,"","22-FEB-2021",2011-06-16
"S77_T","65461","17-JUN-2011",9.28,"","22-FEB-2021",2011-06-17
"S77_T","65461","18-JUN-2011",9.43,"","22-FEB-2021",2011-06-18
"S77_T","65461","19-JUN-2011",9.64,"","22-FEB-2021",2011-06-19
"S77_T","65461","20-JUN-2011",NA,"M","22-FEB-2021",2011-06-20
"S77_T","65461","21-JUN-2011",NA,"M","22-FEB-2021",2011-06-21
"S77_T","65461","22-JUN-2011",10.51,"","22-FEB-2021",2011-06-22
"S77_T","65461","23-JUN-2011",10.73,"","22-FEB-2021",2011-06-23
"S77_T","65461","24-JUN-2011",10.87,"","22-FEB-2021",2011-06-24
"S77_T","65461","25-JUN-2011",11.14,"","22-FEB-2021",2011-06-25
"S77_T","65461","26-JUN-2011",11.21,"","22-FEB-2021",2011-06-26
"S77_T","65461","27-JUN-2011",11.13,"","22-FEB-2021",2011-06-27
"S77_T","65461","28-JUN-2011",11.3,"","22-FEB-2021",2011-06-28
"S77_T","65461","29-JUN-2011",11.3,"","22-FEB-2021",2011-06-29
"S77_T","65461","30-JUN-2011",11.3,"","22-FEB-2021",2011-06-30
"S77_T","65461","01-JUL-2011",11.17,"","22-FEB-2021",2011-07-01
"S77_T","65461","02-JUL-2011",10.94,"","22-FEB-2021",2011-07-02
"S77_T","65461","03-JUL-2011",10.73,"","22-FEB-2021",2011-07-03
"S77_T","65461","04-JUL-2011",10.83,"","22-FEB-2021",2011-07-04
"S77_T","65461","05-JUL-2011",10.86,"","22-FEB-2021",2011-07-05
"S77_T","65461","06-JUL-2011",10.91,"","22-FEB-2021",2011-07-06
"S77_T","65461","07-JUL-2011",11,"","22-FEB-2021",2011-07-07
"S77_T","65461","08-JUL-2011",11.04,"","22-FEB-2021",2011-07-08
"S77_T","65461","09-JUL-2011",10.8,"","22-FEB-2021",2011-07-09
"S77_T","65461","10-JUL-2011",10.63,"","22-FEB-2021",2011-07-10
"S77_T","65461","11-JUL-2011",10.8,"","22-FEB-2021",2011-07-11
"S77_T","65461","12-JUL-2011",11.05,"","22-FEB-2021",2011-07-12
"S77_T","65461","13-JUL-2011",10.93,"","22-FEB-2021",2011-07-13
"S77_T","65461","14-JUL-2011",10.78,"","22-FEB-2021",2011-07-14
"S77_T","65461","15-JUL-2011",11.14,"","22-FEB-2021",2011-07-15
"S77_T","65461","16-JUL-2011",11.47,"","22-FEB-2021",2011-07-16
"S77_T","65461","17-JUL-2011",11.32,"","22-FEB-2021",2011-07-17
"S77_T","65461","18-JUL-2011",11.24,"","22-FEB-2021",2011-07-18
"S77_T","65461","19-JUL-2011",11.24,"","22-FEB-2021",2011-07-19
"S77_T","65461","20-JUL-2011",11.07,"","22-FEB-2021",2011-07-20
"S77_T","65461","21-JUL-2011",10.83,"","22-FEB-2021",2011-07-21
"S77_T","65461","22-JUL-2011",10.77,"","22-FEB-2021",2011-07-22
"S77_T","65461","23-JUL-2011",11,"","22-FEB-2021",2011-07-23
"S77_T","65461","24-JUL-2011",10.8,"","22-FEB-2021",2011-07-24
"S77_T","65461","25-JUL-2011",10.85,"","22-FEB-2021",2011-07-25
"S77_T","65461","26-JUL-2011",10.82,"","22-FEB-2021",2011-07-26
"S77_T","65461","27-JUL-2011",10.98,"","22-FEB-2021",2011-07-27
"S77_T","65461","28-JUL-2011",11.09,"","22-FEB-2021",2011-07-28
"S77_T","65461","29-JUL-2011",10.99,"","22-FEB-2021",2011-07-29
"S77_T","65461","30-JUL-2011",10.91,"","22-FEB-2021",2011-07-30
