"date","cloud.area","bloom.area.m2","vis.bloom","median","mean","min","max","sd","N","cloud.area.per","bloom.area.mi2","bloom.area.per","date2"
2021-01-01,12870000,6030000,0,43651.5832240166,93802.0351733693,6486.34433548237,420726.628384444,103227.727394218,67,0.00713267338434416,2.32819506,0.334188193532209,2021
2021-01-02,362700000,0,0,NA,NA,Inf,-Inf,NA,0,0.201011704467881,0,0,2021.00273972603
2021-01-04,161820000,15030000,0,34040.8189701001,49523.6998421472,7046.93068967147,270395.836410884,48614.9816801399,167,0.0896821450702854,5.80311306,0.832976542087745,2021.00821917808
2021-01-05,270000,100260000,0,25118.8643150958,49051.5255882293,6486.34433548237,457088.189614875,67851.0552009462,1114,0.000149636504566661,38.71058652,5.55650220290867,2021.01095890411
2021-01-06,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.01369863014
2021-01-08,94050000,21420000,0,28840.3150312661,45544.6441985751,6486.34433548237,398107.170553497,51853.6867581635,238,0.0521233824240535,8.27030484,1.18711626956218,2021.01917808219
2021-01-09,338490000,35460000,0,26917.9167239179,49672.3576411788,6486.34433548237,444631.267469108,62832.6739474985,394,0.187594297891737,13.69117692,1.96522609330881,2021.02191780822
2021-01-10,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.02465753425
2021-01-12,1441530000,0,0,NA,NA,Inf,-Inf,NA,0,0.798909297881402,0,0,2021.0301369863
2021-01-13,882720000,0,0,NA,NA,Inf,-Inf,NA,0,0.48921161226327,0,0,2021.03287671233
2021-01-16,564120000,22230000,0,28840.3150312661,44709.7195429068,7046.93068967147,255858.588690565,45911.0545389695,247,0.31264053687461,8.58304746,1.23200722093217,2021.04109589041
2021-01-17,372600000,28440000,0,36982.8179780266,66798.3890119765,6668.06769213622,570164.272280747,76237.5075840714,316,0.206498376301992,10.98074088,1.57617118143549,2021.04383561644
2021-01-19,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.04931506849
2021-01-20,90000,43560000,0,39084.0895792402,61174.7926663852,6486.34433548237,469894.108605215,67517.7438987134,484,4.98788348555536e-05,16.81860312,2.41413560700879,2021.05205479452
2021-01-21,450000,43560000,0,35974.9335155742,69639.8656853497,6486.34433548237,469894.108605215,80605.5066973362,484,0.000249394174277768,16.81860312,2.41413560700879,2021.05479452055
2021-01-23,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.0602739726
2021-01-24,11340000,14760000,0,34517.6678364679,54743.2197742735,6668.06769213622,328095.293113119,58469.6977166196,164,0.00628473319179975,5.69886552,0.818012891631079,2021.06301369863
2021-01-25,354420000,0,0,NA,NA,Inf,-Inf,NA,0,0.19642285166117,0,0,2021.06575342466
2021-01-27,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.07123287671
2021-01-28,0,174780000,0,20137.2424986239,30415.7512123704,6486.34433548237,420726.628384444,36787.4521968211,1942,0,67.48290756,9.68646972894851,2021.07397260274
2021-01-29,5670000,75870000,0,31332.8572431559,64327.2870055922,6668.06769213622,457088.189614875,79173.4559916346,843,0.00314236659589988,29.29355874,4.20478577832317,2021.07671232877
2021-01-31,238770000,8010000,0,34040.8189701001,46338.538647918,6486.34433548237,242102.904673618,42542.9741116055,89,0.132328548871784,3.09267702,0.443921630214427,2021.08219178082
2021-02-01,56430000,28170000,0,30478.9498962798,49270.3021453263,6486.34433548237,366437.574647833,51857.8867569779,313,0.0312740294544321,10.87649334,1.56120753097883,2021.08493150685
2021-02-02,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.08767123288
2021-02-04,40230000,481230000,0,35974.9335155742,46461.0980098262,6486.34433548237,444631.267469108,40721.7445769681,5347,0.0222958391804325,185.80386546,26.6702129972645,2021.09315068493
2021-02-05,180000,28260000,0,59156.1634175474,93930.1866082308,7046.93068967147,524807.460249772,97849.1771160246,314,9.97576697111072e-05,10.91124252,1.56619541446438,2021.09589041096
2021-02-06,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.09863013699
2021-02-08,423270000,0,0,NA,NA,Inf,-Inf,NA,0,0.234580160325669,0,0,2021.10410958904
2021-02-09,270000,9e+06,0,38018.9396320561,63505.9270630973,6668.06769213622,356451.133426244,65366.1776730389,100,0.000149636504566661,3.474918,0.498788348555536,2021.10684931507
2021-02-12,1109700000,0,0,NA,NA,Inf,-Inf,NA,0,0.615006033768976,0,0,2021.11506849315
2021-02-13,591030000,0,0,NA,NA,Inf,-Inf,NA,0,0.32755430849642,0,0,2021.11780821918
2021-02-15,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.12328767123
2021-02-16,433440000,0,0,NA,NA,Inf,-Inf,NA,0,0.240216468664346,0,0,2021.12602739726
2021-02-17,561420000,0,0,NA,NA,Inf,-Inf,NA,0,0.311144171828943,0,0,2021.12876712329
2021-02-19,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.13424657534
2021-02-20,0,123480000,0,18535.3162341481,29045.6263856259,6486.34433548237,539510.622515127,36327.1989932258,1372,0,47.67587496,6.84337614218195,2021.13698630137
2021-02-21,325170000,1890000,0,44874.5389933132,61594.2654417715,11271.9745617551,255858.588690565,68271.8347113216,21,0.180212230333115,0.72973278,0.104745553196663,2021.1397260274
2021-02-23,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.14520547945
2021-02-24,97470000,14580000,0,44874.5389933132,66158.7131929937,6486.34433548237,328095.293113119,62579.0645345826,162,0.0540187781485645,5.62936716,0.808037124659968,2021.14794520548
2021-02-25,0,40860000,0,55975.760149511,86331.7448357196,6486.34433548237,457088.189614875,91946.5109188745,454,0,15.77612772,2.26449910244213,2021.15068493151
2021-02-27,57240000,11790000,0,28054.3363795171,41605.6336813328,6668.06769213622,210862.814993329,38344.2481101164,131,0.0317229389681321,4.55214258,0.653412736607752,2021.15616438356
2021-02-28,352350000,18630000,0,44874.5389933132,65016.1748333808,6668.06769213622,432513.831035009,67936.3641503798,207,0.195275638459492,7.19308026,1.03249188150996,2021.15890410959
2021-03-01,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.16164383562
2021-03-03,709560000,0,0,NA,NA,Inf,-Inf,NA,0,0.393244734001185,0,0,2021.16712328767
2021-03-04,507420000,9e+05,0,26911.7016507568,32328.2935738914,13304.5441797809,69823.2404077171,18670.5161230088,10,0.281216870915611,0.3474918,0.0498788348555536,2021.1698630137
2021-03-07,1260000,30240000,0,29244.3144632547,45089.3320778618,6486.34433548237,346736.850452532,48033.3628817,336,0.00069830368797775,11.67572448,1.6759288511466,2021.17808219178
2021-03-08,199890000,8550000,0,33113.1121482591,65526.3502496615,6486.34433548237,319153.785510076,80651.7870300741,95,0.110780892214185,3.3011721,0.473848931127759,2021.18082191781
2021-03-11,44190000,25200000,0,35974.9335155742,61447.260614226,6486.34433548237,366437.574647833,66150.8894717776,280,0.0244905079140768,9.7297704,1.3966073759555,2021.18904109589
2021-03-12,61830000,31680000,0,46131.7574560379,66820.9133342485,6668.06769213622,387257.644921617,64761.8290708672,352,0.0342667595457653,12.23171136,1.75573498691549,2021.19178082192
2021-03-14,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.19726027397
2021-03-15,9450000,86400000,0,47424.1985260244,61229.3548237569,6486.34433548237,496592.321450336,54482.8955556503,960,0.00523727765983313,33.3592128,4.78836814613315,2021.2
2021-03-16,158760000,5040000,0,40194.4198891281,45801.8535431612,6486.34433548237,111686.324778056,29984.8089774948,56,0.0879862646851965,1.94595408,0.2793214751911,2021.20273972603
2021-03-18,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.20821917808
2021-03-19,5940000,27810000,0,46131.7574560379,63742.4107078242,6668.06769213622,469894.108605215,61378.3659040893,309,0.00329200310046654,10.73749662,1.54125599703661,2021.21095890411
2021-03-20,362790000,720000,0,29244.3144632547,30110.5140265087,28840.3150312661,33113.1121482591,1886.49602756852,8,0.201061583302737,0.27799344,0.0399030678844429,2021.21369863014
2021-03-22,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.21917808219
2021-03-23,32940000,162630000,0,30478.9498962798,45046.3677909946,6486.34433548237,444631.267469108,46010.9232629626,1807,0.0182556535571326,62.79176826,9.01310545839853,2021.22191780822
2021-03-24,180000,157950000,0,36982.8179780266,68574.0831267146,6486.34433548237,654636.174067275,83494.915293642,1755,9.97576697111072e-05,60.9848109,8.75373551714966,2021.22465753425
2021-03-26,7380000,360000,0,151356.124843621,153708.225252923,118032.063565173,194088.587759278,31168.5040897911,4,0.00409006445815539,0.13899672,0.0199515339422214,2021.2301369863
2021-03-27,27450000,80370000,0,34040.8189701001,50573.189427812,6486.34433548237,432513.831035009,52836.417196315,893,0.0152130446309438,31.03101774,4.45417995260094,2021.23287671233
2021-03-28,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.23561643836
2021-03-30,23580000,5490000,0,41304.7501990161,69370.4677753426,7046.93068967147,366437.574647833,78220.901284929,61,0.013068254732155,2.11969998,0.304260892618877,2021.24109589041
2021-03-31,1163430000,0,0,NA,NA,Inf,-Inf,NA,0,0.644783698177741,0,0,2021.24383561644
2021-04-01,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.24657534247
2021-04-03,86310000,43470000,0,38018.9396320561,57800.0489955083,6486.34433548237,337287.308658869,59576.9526719374,483,0.0478338026264759,16.78385394,2.40914772352324,2021.25205479452
2021-04-04,99900000,74430000,0,33113.1121482591,56845.4968113449,6486.34433548237,409260.659730011,67937.6511955384,827,0.0553655066896645,28.73757186,4.12497964255428,2021.25479452055
2021-04-07,258930000,353520000,0,39084.0895792402,60870.9754863895,6486.34433548237,469894.108605215,63677.1109417001,3928,0.143501407879428,136.49477904,19.5924063312615,2021.26301369863
2021-04-08,9540000,165960000,0.06949836,65169.0582662308,97512.3065457749,6486.34433548237,1106623.78397767,112444.628206054,1844,0.00528715649468868,64.07748792,9.19765714736408,2021.26575342466
2021-04-10,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.27123287671
2021-04-11,71370000,11340000,0,79075.4086955469,102960.511108507,7244.35960074989,731139.083483417,97520.9745357476,126,0.039553916040454,4.37839668,0.628473319179975,2021.27397260274
2021-04-12,921240000,0,0,NA,NA,Inf,-Inf,NA,0,0.510559753581447,0,0,2021.27671232877
2021-04-14,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.28219178082
2021-04-15,4590000,98640000,0,60813.5001278718,95078.3356058695,6486.34433548237,711213.513653329,97652.3503527664,1096,0.00254382057763323,38.08510128,5.46672030016867,2021.28493150685
2021-04-16,155160000,342180000,1.80695736,151356.124843621,225139.176178672,6668.06769213622,2466039.33723434,240847.223831676,3802,0.0859911112909744,132.11638236,18.9639330120815,2021.28767123288
2021-04-18,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.29315068493
2021-04-19,1290510000,0,0,NA,NA,Inf,-Inf,NA,0,0.715212612993783,0,0,2021.29589041096
2021-04-20,1431630000,0,0,NA,NA,Inf,-Inf,NA,0,0.793422626047291,0,0,2021.29863013699
2021-04-22,3330000,90000,0,457088.189614875,457088.189614875,457088.189614875,457088.189614875,NA,1,0.00184551688965548,0.03474918,0.00498788348555536,2021.30410958904
2021-04-23,94230000,68670000,0.06949836,135518.941235103,160084.300975935,6486.34433548237,1235947.43344451,150408.946351283,763,0.0522231400937646,26.51362434,3.80575509947874,2021.30684931507
2021-04-24,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.3095890411
2021-04-26,22140000,32580000,0,124738.351424294,158373.587552394,7046.93068967147,839459.986519397,145908.711402001,362,0.0122701933744662,12.57920316,1.80561382177104,2021.31506849315
2021-04-27,54270000,110970000,0,108642.562361706,132832.788312972,6668.06769213622,839459.986519397,110795.221037205,1233,0.0300769374178988,42.84573894,6.15006033768976,2021.31780821918
2021-04-28,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.32054794521
2021-04-30,31860000,162810000,2.05020162,135518.941235103,249047.905387637,6486.34433548237,3531831.69791957,336905.528047641,1809,0.017657107538866,62.86126662,9.02308122536965,2021.32602739726
2021-05-01,70380000,846360000,13.41318348,255858.588690565,335766.603665187,6486.34433548237,3837072.45492279,339725.799604098,9404,0.0390052488570429,326.78128872,46.9060562981626,2021.32876712329
2021-05-04,1710000,212580000,0.79923114,131825.673855641,216148.578748433,6486.34433548237,1870682.1403658,231992.105003717,2362,0.000947697862255518,82.07756316,11.7813807928818,2021.33698630137
2021-05-05,53190000,518310000,10.00776384,183653.834334835,300919.662278052,6486.34433548237,3732501.57795721,335047.423853706,5759,0.0294783913996322,200.12052762,28.7252209933133,2021.3397260274
2021-05-07,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.34520547945
2021-05-08,252990000,139680000,0.03474918,110164.443569881,179907.351800566,6486.34433548237,1076465.21362983,179429.840621904,1552,0.140209404778961,53.93072736,7.74119516958192,2021.34794520548
2021-05-09,52290000,230760000,0.38224098,102801.629812647,163246.753705505,6486.34433548237,1202264.43461741,171860.772373167,2564,0.0289796030510766,89.09689752,12.7889332569639,2021.35068493151
2021-05-11,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.35616438356
2021-05-12,585720000,315810000,4.65639012,242102.904673618,316439.933838022,6486.34433548237,4405548.63506553,342316.563596929,3509,0.324611457239943,121.93487262,17.5024831508138,2021.35890410959
2021-05-13,373590000,0,0,NA,NA,Inf,-Inf,NA,0,0.207047043485403,0,0,2021.36164383562
2021-05-15,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.36712328767
2021-05-16,198540000,213660000,0.38224098,155596.563160508,217617.165169821,6486.34433548237,1169499.39101987,194631.20207786,2374,0.110032709691351,82.49455332,11.8412353947084,2021.3698630137
2021-05-17,282150000,298620000,0.8687295,188799.134909629,256958.250071807,6486.34433548237,1306170.88813184,208758.308223951,3318,0.156370147272161,115.29777924,16.5497974050727,2021.37260273973
2021-05-19,374130000,1170000,0,169044.093164326,166824.729918802,82413.8115013002,248885.731828239,46383.6744368916,13,0.207346316494536,0.45173934,0.0648424853122197,2021.37808219178
2021-05-20,304200000,34560000,0.03474918,222843.51492703,251665.081770089,6668.06769213622,1047128.5480509,198238.726237862,384,0.168590461811771,13.34368512,1.91534725845326,2021.38082191781
2021-05-21,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.38356164384
2021-05-23,70110000,3150000,0.03474918,173780.082874937,280156.390358414,34040.8189701001,1270574.10520854,274144.83271442,35,0.0388556123524763,1.2162213,0.174575921994438,2021.38904109589
2021-05-24,11700000,407250000,0.62548524,164437.172321493,218850.661256014,6486.34433548237,1342764.96113786,201704.721415585,4525,0.00648424853122197,157.2400395,22.570172772138,2021.39178082192
2021-05-25,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.39452054795
2021-05-27,3960000,328410000,5.42087208,188799.134909629,303743.273278562,6486.34433548237,4285485.20397439,410679.86675052,3649,0.00219466873364436,126.79975782,18.2007868387915,2021.4
2021-05-28,19260000,384390000,1.07722458,111686.324778056,184981.620806893,6668.06769213622,2466039.33723434,211427.45822078,4271,0.0106740706590885,148.41374778,21.3032503668069,2021.40273972603
2021-05-31,190530000,51120000,0.13899672,293764.965196153,274649.95073127,7244.35960074989,1270574.10520854,180989.727156372,568,0.105593493389207,19.73753424,2.83311781979544,2021.41095890411
2021-06-01,66780000,138510000,0.13899672,183653.834334835,236779.548448035,7046.93068967147,1137627.28582343,202191.372212851,1539,0.0370100954628208,53.47898802,7.6763526842697,2021.41369863014
2021-06-03,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.41917808219
2021-06-04,420480000,112770000,0.06949836,216770.410481969,257100.256440939,6854.88226452661,1870682.1403658,193610.46739085,1253,0.233033916445146,43.54072254,6.24981800740087,2021.42191780822
2021-06-05,173970000,108810000,0,205116.217882556,245393.336408089,8550.66712884682,990831.944892767,182190.319566483,1209,0.0964157877757851,42.01175862,6.03035113403643,2021.42465753425
2021-06-07,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.4301369863
2021-06-08,50400000,109440000,0.06949836,139315.68029453,194170.448614227,6486.34433548237,1047128.5480509,163008.768464151,1216,0.02793214751911,42.25500288,6.06526631843532,2021.43287671233
2021-06-09,66420000,388800000,0.27799344,159955.802861467,216430.664395667,6486.34433548237,1342764.96113786,189259.367767148,4320,0.0368105801233986,150.1164576,21.5476566575992,2021.43561643836
2021-06-11,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.44109589041
2021-06-12,825390000,71280000,0,306225.565426518,332206.144498698,7046.93068967147,887156.012037961,195651.204401698,792,0.457438794460282,27.52135056,3.95040372055984,2021.44383561644
2021-06-13,86040000,2.25e+08,0.06949836,135518.941235103,199050.505282355,6486.34433548237,1270574.10520854,184467.452747894,2500,0.0476841661219092,86.87295,12.4697087138884,2021.44657534247
2021-06-15,303660000,0,0,NA,NA,Inf,-Inf,NA,0,0.168291188802638,0,0,2021.45205479452
2021-06-16,1378620000,0,0,NA,NA,Inf,-Inf,NA,0,0.76404399231737,0,0,2021.45479452055
2021-06-17,189630000,0,0,NA,NA,Inf,-Inf,NA,0,0.105094705040651,0,0,2021.45753424658
2021-06-19,1044720000,0,0,NA,NA,Inf,-Inf,NA,0,0.578993515003266,0,0,2021.46301369863
2021-06-20,140490000,215280000,0.41699016,151356.124843621,193588.237742774,6486.34433548237,1270574.10520854,171563.271159026,2392,0.0778608612095192,83.12003856,11.9310172974484,2021.46575342466
2021-06-21,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.46849315068
