"Date","WCA1","WCA2","WCA3","S10s","S11s","S12s","S333","S333N","S356","ENP","WCA2_in"
2023-01-01,151,0,216,290,0,1080,212,198,525,965,0
2023-01-02,0,0,223,291,0,1066,244,229,525,1014,0
2023-01-03,0,0,205,291,0,1054,221,208,526,957,0
2023-01-04,0,0,199,290,0,1042,210,199,520,931,0
2023-01-05,30,0,209,289,0,1021,243,231,525,970,0
2023-01-06,0,0,203,289,0,1006,279,266,525,1026,0
2023-01-07,0,0,202,290,0,997,279,265,525,1016,0
2023-01-08,0,0,206,289,0,979,307,295,526,1055,0
2023-01-09,0,0,199,288,0,958,313,303,525,1049,0
2023-01-10,0,0,205,288,0,950,313,302,525,1040,0
2023-01-11,7,0,210,288,0,933,311,301,525,1020,0
2023-01-12,5,0,197,287,0,922,281,270,515,958,0
2023-01-13,60,0,193,286,0,912,247,238,499,898,0
2023-01-14,0,0,196,286,0,898,247,239,526,858,0
2023-01-15,0,0,187,288,0,892,251,240,451,932,0
2023-01-16,0,0,177,290,0,876,250,240,445,921,0
2023-01-17,104,0,177,290,0,862,246,238,524,822,0
2023-01-18,25,0,176,290,0,848,267,258,475,898,0
2023-01-19,0,0,179,289,0,830,281,271,399,983,0
2023-01-20,0,0,73,289,0,812,289,279,391,989,0
2023-01-21,0,0,196,290,0,801,299,291,424,967,0
2023-01-22,0,0,197,291,0,790,303,295,379,1009,0
2023-01-23,0,0,192,290,0,855,313,305,396,1077,0
2023-01-24,0,0,201,291,0,846,313,305,369,1095,0
2023-01-25,0,0,181,291,0,673,336,332,375,966,0
2023-01-26,0,0,164,290,0,559,368,367,348,946,0
2023-01-27,0,0,161,291,0,554,382,382,266,1052,0
2023-01-28,0,0,158,292,0,550,382,381,266,1047,0
2023-01-29,0,0,148,291,0,540,378,378,265,1031,0
2023-01-30,24,0,146,290,0,527,374,375,264,1012,0
2023-01-31,0,0,151,289,0,518,372,374,263,1001,0
2023-02-01,0,0,142,289,0,506,382,383,257,1014,0
2023-02-02,0,0,158,289,0,493,391,396,252,1028,0
2023-02-03,0,0,123,288,0,482,397,403,259,1023,0
2023-02-04,0,0,145,288,0,467,396,401,260,1004,0
2023-02-05,0,0,66,289,0,464,397,403,266,998,0
2023-02-06,0,9,68,288,0,494,399,408,223,1078,9
2023-02-07,0,66,91,289,0,496,397,406,194,1105,66
2023-02-08,0,84,102,290,0,486,371,358,327,888,84
2023-02-09,0,0,96,289,0,393,367,358,394,724,0
2023-02-10,0,0,131,464,0,335,369,373,382,695,0
2023-02-11,7,0,133,530,0,339,400,412,344,807,0
2023-02-12,292,0,135,526,0,338,398,411,394,753,0
2023-02-13,351,0,153,525,0,340,400,414,400,754,0
2023-02-14,219,0,140,526,0,341,406,418,388,777,0
2023-02-15,0,0,139,523,0,337,400,413,233,917,0
2023-02-16,0,0,127,519,0,335,388,399,400,722,0
2023-02-17,0,0,142,745,0,334,392,404,388,742,0
2023-02-18,0,0,120,902,0,328,398,414,400,740,0
2023-02-19,0,0,128,896,0,330,399,412,400,741,0
2023-02-20,0,0,118,886,0,325,403,420,294,854,0
2023-02-21,0,0,205,877,0,320,408,426,266,888,0
2023-02-22,0,0,75,869,0,318,370,384,266,806,0
